Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Canada (01)   20000,12437470,53634,46584,69548,63,57217,42
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,197180,44136,38997,55620,229,46270,159
Division No. 1 (1001)   00000,97015,48741,42053,61108,393,49943,268
Portugal Cove South (1001105) T 01000,0,0,0,0,0,0,0
Trepassey (1001113) T 00000,310,36731,32915,53469,6193,44886,4633
St. Shott's (1001120) T 00000,0,0,0,0,0,0,0
"Division No. 1, Subd. U (1001124) SNO 01010",640,40284,35627,47306,2672,40734,2057
Cape Broyle (1001126) T 01000,210,39415,35243,47013,5030,39728,3448
Renews-Cappahayden (1001131) T 01000,170,50027,44651,55370,7775,47096,6126
Fermeuse (1001136) T 00000,115,32478,32391,45250,6624,38954,5327
Port Kirwan (1001140) T 01010,0,0,0,0,0,0,0
Aquaforte (1001144) T 01010,0,0,0,0,0,0,0
Ferryland (1001149) T 00000,200,39516,35420,49237,3988,42756,3163
"Division No. 1, Subd. W (1001155) SNO 02020",230,43211,35642,59008,7336,47609,4956
St. Vincent's-St. Stephen's-Peter's River (1001169) T 01000,155,28117,24795,35391,4538,32031,3481
Gaskiers-Point La Haye (1001174) T 01000,125,23543,22647,34546,5615,31194,4726
St. Mary's (1001178) T 00000,185,37420,36158,56222,7948,47583,5775
Riverhead (1001181) T 00000,0,0,0,0,0,0,0
Admirals Beach (1001186) T 00000,0,0,0,0,0,0,0
St. Joseph's (1001192) T 01000,0,0,0,0,0,0,0
Mount Carmel-Mitchells Brook-St. Catherines (1001197) T 01010,175,35818,34026,49593,5171,43128,4188
"Division No. 1, Subd. X (1001203) SNO 01020",220,42160,37556,40833,3425,36198,2774
Colinet (1001207) T 01000,0,0,0,0,0,0,0
"Division No. 1, Subd. C (1001214) SNO 02020",0,0,0,0,0,0,0
Branch (1001219) T 01020,120,39394,38114,73593,23173,57359,15088
Point Lance (1001225) T 00020,0,0,0,0,0,0,0
St. Bride's (1001228) T 01010,145,27567,23143,33858,3492,30802,3067
"Division No. 1, Subd. B (1001234) SNO 02020",195,37397,35879,44231,4165,37760,3092
Placentia (1001240) T 00000,1550,37515,33707,46025,1754,39210,1318
Fox Harbour (1001254) T 01000,120,34482,30588,37613,5217,33970,4709
"Division No. 1, Subd. A (1001259) SNO 01010",385,37466,34228,49398,4307,41474,3047
Long Harbour-Mount Arlington Heights (1001263) T 00010,0,0,0,0,0,0,0
Southern Harbour (1001267) T 00000,170,44255,39903,52894,3785,46439,3028
Arnold's Cove (1001270) T 01010,370,55627,47780,63540,4082,51127,2890
Come By Chance (1001274) T 00000,100,36595,34291,59225,8973,48122,6415
Sunnyside (1001277) T 01000,185,53572,44612,57775,5809,46520,4125
Chance Cove (1001281) T 00000,130,21881,21822,33665,5848,29176,4381
Norman's Cove-Long Cove (1001285) T 00000,275,46897,41016,49526,3311,42549,2450
Chapel Arm (1001289) T 00000,175,34421,31154,40330,4562,35101,3133
"Division No. 1, Subd. Y (1001293) SNO 01000",485,38837,35388,46495,2671,39656,1949
Whitbourne (1001298) T 00000,355,33715,31675,42293,2712,37208,2128
"Division No. 1, Subd. E (1001304) SNO 00000",1160,38072,34445,45314,2025,39234,1535
Whiteway (1001308) T 00000,0,0,0,0,0,0,0
Heart's Delight-Islington (1001312) T 00000,275,27511,26566,35841,3556,32160,2823
Heart's Desire (1001316) T 00010,0,0,0,0,0,0,0
"Division No. 1, Subd. F (1001321) SNO 00000",245,43639,35945,48938,4598,41810,3489
Heart's Content (1001325) T 00000,170,37789,36825,45263,5805,39364,4474
New Perlican (1001328) T 02020,0,0,0,0,0,0,0
Winterton (1001332) T 00010,205,34431,31181,36366,2467,32715,1987
Hant's Harbour (1001335) T 00000,165,34565,31723,41648,6235,36783,4624
"Division No. 1, Subd. G (1001339) SNO 00000",910,33129,30880,42334,1966,36888,1512
Old Perlican (1001343) T 00000,250,40875,35494,46731,3350,40955,2647
Bay de Verde (1001347) T 00000,190,34469,30931,39358,3776,36305,3419
Small Point-Adam's Cove-Blackhead-Broad Cove (1001352) T 00000,180,39267,35427,41691,3488,36664,2815
"Division No. 1, Subd. H (1001357) SNO 00000",165,27115,25579,44625,6527,38891,4970
Salmon Cove (1001361) T 00000,270,38309,33227,38484,2976,34249,2361
Victoria (1001365) T 00000,685,37637,33398,45946,2689,39729,2072
Carbonear (1001370) T 00000,1790,42542,38567,52950,2216,44322,1583
"Division No. 1, Subd. I (1001374) SNO 01000",0,0,0,0,0,0,0
Bryant's Cove (1001375) T 00000,145,56246,47286,65508,8675,54606,6544
Harbour Grace (1001379) T 00000,1225,35956,32253,45541,2120,39093,1563
Upper Island Cove (1001385) T 00000,620,44045,38181,53295,3759,44726,2595
Bishop's Cove (1001394) T 01000,125,32038,31442,38888,3851,35012,3097
Spaniard's Bay (1001396) T 00000,935,39716,34232,47664,2416,40464,1752
Bay Roberts (1001409) T 00000,2025,43592,37620,55545,2375,46107,1659
"Division No. 1, Subd. L (1001415) SNO 00000",375,56098,47077,58626,3824,49356,2976
"Division No. 1, Subd. M (1001421) SNO 01010",365,40050,33511,50579,4566,42112,3064
North River (1001426) T 00000,220,40021,33220,79157,29100,56545,15545
Clarke's Beach (1001429) T 00010,495,43017,37641,49135,2898,41994,2208
South River (1001434) T 00000,245,45803,44599,56610,5335,48224,4169
Cupids (1001437) T 00000,320,35408,32703,44333,3570,38175,2724
"Division No. 1, Subd. N (1001441) SNO 01010",145,38622,34770,42986,3756,37838,3050
Brigus (1001446) T 01010,310,33926,29550,42205,4130,36774,3228
"Division No. 1, Subd. O (1001452) SNO 01020",315,37469,34202,43459,3703,37113,2757
Colliers (1001456) T 01000,270,47653,42872,53245,4457,46087,3427
Conception Harbour (1001461) T 01010,290,47002,41058,55994,4968,47190,3999
Avondale (1001464) T 00000,270,38567,36564,48528,4231,41813,3350
Harbour Main-Chapel's Cove-Lakeview (1001469) T 00000,390,52937,45995,59679,4700,50042,3568
Holyrood (1001472) T 00000,725,53031,43942,57623,2797,47847,2220
Conception Bay South (1001485) T 00000,7905,56157,48298,64710,1076,53240,759
"Division No. 1, Subd. R (1001490) SNO 01000",155,30575,27035,33709,3239,29900,2529
Wabana (1001494) T 00000,1040,20374,19872,30893,1617,27809,1294
Portugal Cove-St. Philip's (1001504) T 00000,2345,64471,53020,80255,3462,62898,2167
Pouch Cove (1001505) T 00000,650,45405,39128,50056,2413,43403,1902
Flatrock (1001507) T 00000,420,61457,51422,66741,4121,54404,3134
Torbay (1001509) T 00000,2220,66301,56006,75044,2634,60669,1710
Logy Bay-Middle Cove-Outer Cove (1001511) T 00000,675,87491,71427,91601,5076,71287,3269
Bauline (1001512) T 00000,130,58085,49833,73417,7660,58902,5156
Paradise (1001517) T 00000,4495,67587,56841,73036,1295,59207,930
St. John's (1001519) CY 01010,41515,47588,40922,63689,719,51184,484
Mount Pearl (1001542) CY 00000,9195,57441,48046,67238,1070,54861,760
Petty Harbour-Maddox Cove (1001551) T 00000,330,54534,46673,50817,3546,44101,2841
Bay Bulls (1001557) T 01010,395,51719,43913,61991,4605,51685,3283
Witless Bay (1001559) T 00000,385,56719,49768,59687,3343,50000,2586
Division No. 2 (1002)   00000,8705,40087,36008,47319,758,40617,567
"Division No. 2, Subd. E (1002001) SNO 02020",125,33482,29925,37193,3166,32943,2546
Lewin's Cove (1002002) T 00000,215,39846,37833,46630,4293,40722,3321
Burin (1002005) T 00001,975,40609,35838,50631,2623,42769,1823
"Division No. 2, Subd. F (1002006) SNO 02020",0,0,0,0,0,0,0
St. Lawrence (1002008) T 00000,490,42328,38801,50799,3895,43776,2894
Lawn (1002011) T 00000,265,37916,33977,41234,3440,36383,2738
Lamaline (1002012) T 00010,130,30025,27963,34714,3366,31298,2806
Lord's Cove (1002013) T 00000,0,0,0,0,0,0,0
Point May (1002014) T 01000,0,0,0,0,0,0,0
Point au Gaul (1002015) T 00000,0,0,0,0,0,0,0
"Division No. 2, Subd. H (1002016) SNO 02020",0,0,0,0,0,0,0
Frenchman's Cove (1002017) T 01000,0,0,0,0,0,0,0
Fortune (1002018) T 00000,620,34136,31621,40148,1940,35028,1402
Grand Bank (1002019) T 00000,1080,36893,33378,42347,1633,36669,1214
Garnish (1002021) T 00000,235,43575,36082,46179,3698,39404,2911
"Division No. 2, Subd. D (1002022) SNO 01000",105,51014,44438,55102,5455,47504,4104
Winterland (1002023) T 01000,125,63055,52047,59533,6144,50846,4929
Marystown (1002024) T 00000,2055,49592,42815,54590,1901,45658,1408
Fox Cove-Mortier (1002025) T 00000,135,42249,36873,50845,6587,43158,5001
"Division No. 2, Subd. I (1002026) SNO 01000",0,0,0,0,0,0,0
Bay L'Argent (1002027) T 01010,125,27246,27246,39490,6582,34097,5241
Grand le Pierre (1002030) T 00000,0,0,0,0,0,0,0
"Division No. 2, Subd. C (1002031) SNO 00000",245,35016,32138,38584,2962,34693,2530
Rushoon (1002033) T 01000,120,42751,38654,55288,6193,46934,4696
Parkers Cove (1002034) T 01010,110,39987,35891,41738,4506,36750,3453
Terrenceville (1002036) T 00010,200,48967,40263,51642,4999,44649,3880
Red Harbour (1002037) T 00000,0,0,0,0,0,0,0
English Harbour East (1002039) T 00000,0,0,0,0,0,0,0
Baine Harbour (1002040) T 01000,0,0,0,0,0,0,0
